name,price,color,mpg,drive_type,engine,mileage
Used 2019 Toyota Sienna SE,24325,red,19 city / 27 highway,2 wheel drive - front,6-cylinder,45628
Used 2017 Chevrolet Trax AWD LT w/ 1LT,14990,black,24 city / 30 highway,all wheel drive,4-cylinder turbo,46611
Used 2008 BMW M6 Coupe,20500,black,11 city / 17 highway,2 wheel drive - rear,10-cylinder,59052
Certified 2017 Subaru Forester 2.5i Touring,24991,green,26 city / 32 highway,all wheel drive,4-cylinder,23685
Used 2017 Toyota Tacoma TRD Off-Road,29991,gray,18 city / 23 highway,4 wheel drive,6-cylinder,20894
Used 2019 RAM 2500 Tradesman,38499,silver,undefined,4 wheel drive,8-cylinder,9653
Used 2012 Volkswagen Passat TDI SE,10991,white,30 city / 40 highway,2 wheel drive - front,4-cylinder turbo,48199
New 2019 RAM 2500 4x4 Crew Cab Tradesman,49272,white,undefined,4 wheel drive,6-cylinder turbo,undefined
Used 2017 Ford Fusion SE,13400,white,21 city / 32 highway,2 wheel drive - front,4-cylinder,23066
Used 2015 Volkswagen Passat TDI SE,14991,silver,29 city / 40 highway,2 wheel drive - front,4-cylinder turbo,19051
Used 2016 Honda Accord Sport Sedan,17991,burgundy,27 city / 36 highway,2 wheel drive - front,4-cylinder,16332
Used 2014 Chevrolet Silverado 1500 4x4 Crew Cab LT,22991,white,17 city / 22 highway,4 wheel drive,8-cylinder,74416
Certified 2019 Subaru Outback Premium,26991,red,25 city / 32 highway,all wheel drive,4-cylinder,9344
Used 2019 Toyota Camry XLE Hybrid,28498,red,29 city / 41 highway,2 wheel drive - front,4-cylinder,9337
Used 2017 Honda Pilot 4WD Touring,34484,blue,19 city / 26 highway,all wheel drive,6-cylinder,18041
Used 2008 Audi A6 3.2 quattro Sedan,5995,beige,17 city / 25 highway,all wheel drive,6-cylinder,157325
Used 2018 Ford Escape FWD SE,18993,silver,21 city / 28 highway,2 wheel drive - front,4-cylinder turbo,7055
Used 2016 BMW 228i Coupe,18996,white,23 city / 35 highway,2 wheel drive - rear,4-cylinder turbo,26381
Used 2014 Ford F150 XLT,19783,blue,16 city / 22 highway,2 wheel drive - rear,6-cylinder turbo,37947
Used 2016 Ford Escape 4WD Titanium,19983,red,22 city / 29 highway,4 wheel drive,4-cylinder turbo,23300
Used 2017 Ford Edge AWD SEL,24373,white,20 city / 27 highway,all wheel drive,4-cylinder turbo,15409
Used 2018 Ford Transit 250 130" Low Roof,24775,white,undefined,2 wheel drive - rear,6-cylinder,12666
Used 2018 Ford Transit 250 130" Low Roof,25235,white,undefined,2 wheel drive - rear,6-cylinder,7006
Used 2015 Chevrolet Tahoe 4WD LT,38560,silver,16 city / 22 highway,4 wheel drive,8-cylinder,28749
Used 2003 Ford Ranger 2WD SuperCab,6791,white,16 city / 21 highway,2 wheel drive - rear,6-cylinder,94471
Used 2016 Kia Soul,9991,white,24 city / 30 highway,2 wheel drive - front,4-cylinder,59498
Used 2017 Volkswagen Passat 1.8T SE,13991,silver,23 city / 34 highway,2 wheel drive - front,4-cylinder turbo,36500
Used 2018 Chevrolet Malibu LT w/ 1LT,15397,beige,27 city / 36 highway,2 wheel drive - front,4-cylinder turbo,21407
Used 2005 Toyota Camry LE,1983,gold,undefined,2 wheel drive - front,4-cylinder,242680
New 2019 RAM 2500 4x4 Mega Cab Laramie,62990,white,undefined,4 wheel drive,6-cylinder turbo,undefined
Used 2008 BMW M6 Coupe,20500,black,11 city / 17 highway,2 wheel drive - rear,10-cylinder,59052
Certified 2017 Subaru Forester 2.5i Touring,24991,green,26 city / 32 highway,all wheel drive,4-cylinder,23685
Used 2017 Toyota Tacoma TRD Off-Road,29991,gray,18 city / 23 highway,4 wheel drive,6-cylinder,20894
Used 2019 RAM 2500 Tradesman,38499,silver,undefined,4 wheel drive,8-cylinder,9653
Used 2012 Volkswagen Passat TDI SE,10991,white,30 city / 40 highway,2 wheel drive - front,4-cylinder turbo,48199
Used 2017 Toyota Tundra 4x4 CrewMax SR5,33890,silver,13 city / 17 highway,4 wheel drive,8-cylinder,27886
Used 2017 Ford Fusion SE,13400,white,21 city / 32 highway,2 wheel drive - front,4-cylinder,23066
Used 2015 Volkswagen Passat TDI SE,14991,silver,29 city / 40 highway,2 wheel drive - front,4-cylinder turbo,19051
Used 2016 Honda Accord Sport Sedan,17991,burgundy,27 city / 36 highway,2 wheel drive - front,4-cylinder,16332
Used 2014 Chevrolet Silverado 1500 4x4 Crew Cab LT,22991,white,17 city / 22 highway,4 wheel drive,8-cylinder,74416
Certified 2019 Subaru Outback Premium,26991,red,25 city / 32 highway,all wheel drive,4-cylinder,9344
Used 2019 Toyota Camry XLE Hybrid,28498,red,29 city / 41 highway,2 wheel drive - front,4-cylinder,9337
Used 2017 Honda Pilot 4WD Touring,34484,blue,19 city / 26 highway,all wheel drive,6-cylinder,18041
Used 2008 Audi A6 3.2 quattro Sedan,5995,beige,17 city / 25 highway,all wheel drive,6-cylinder,157325
Used 2018 Ford Escape FWD SE,18993,silver,21 city / 28 highway,2 wheel drive - front,4-cylinder turbo,7055
Used 2016 BMW 228i Coupe,18996,white,23 city / 35 highway,2 wheel drive - rear,4-cylinder turbo,26381
Used 2014 Ford F150 XLT,19783,blue,16 city / 22 highway,2 wheel drive - rear,6-cylinder turbo,37947
Used 2016 Ford Escape 4WD Titanium,19983,red,22 city / 29 highway,4 wheel drive,4-cylinder turbo,23300
Used 2017 Ford Edge AWD SEL,24373,white,20 city / 27 highway,all wheel drive,4-cylinder turbo,15409
Used 2018 Ford Transit 250 130" Low Roof,24775,white,undefined,2 wheel drive - rear,6-cylinder,12666
